Index,Track Name,Latitude,Longitude,Elevation,MetersfromLastNode
0,community side trails,18.029853,-66.029935,148.562,0
228,community side trails,18.0350588,-66.0310122,188.392,591.0712091
237,community side trails,18.0351542,-66.0308186,193.252,23.98494079
431,community side trails,18.0334472,-66.0325996,167.682,269.1328257
630,community side trails,18.0320226,-66.0358806,172.022,381.2045757
645,community side trails,18.0323016,-66.0362668,183.332,52.72799944
1063,community side trails,18.0438364,-66.0280688,232.342,1549.229641
2041,community side trails,18.058216,-66.032106,212.862,1654.988566
2042,sidepath (08-06),18.041086,-66.0347,105.326,0
2043,sidepath (08-06),18.041083,-66.034701,104.436,0.967627704
2049,sidepath (08-06),18.0410996,-66.034674,104.886,2.915645355
2050,sidepath (08-06),18.0411,-66.034673,104.696,0.19
2083,sidepath (08-06),18.0406614,-66.0351424,109.126,69.36944261
2100,sidepath (08-06),18.0407628,-66.0354276,111.252,32.40253
2107,sidepath (08-06),18.0408368,-66.035488,112.276,10.20874285
2112,sidepath (08-06),18.0407862,-66.0354448,111.252,7.081031408
2120,sidepath (08-06),18.0409144,-66.0355128,111.252,15.96668561
2133,sidepath (08-06),18.0407678,-66.0354206,113.476,18.96602696
2144,sidepath (08-06),18.0407734,-66.0355042,111.252,8.964673046
2150,sidepath (08-06),18.0410704,-66.0364796,114.326,107.7787332
2156,sidepath (08-06),18.0409574,-66.0355554,114.786,98.31681006
2163,sidepath (08-06),18.0410248,-66.035634,113.166,11.6361637
2179,sidepath (08-06),18.0409408,-66.0357254,113.916,13.75981897
2180,sidepath (08-06),18.0409466,-66.0357244,113.976,1.049716009
2291,sidepath (08-06),18.041698,-66.03563,106.876,84.45155277
2292,walk along road from sidepath to sidepath,18.041718,-66.035645,100.584,0
2295,walk along road from sidepath to sidepath,18.0417314,-66.0356792,100.584,4.591375997
2296,walk along road from sidepath to sidepath,18.0417324,-66.0356828,100.584,0.189870596
2298,walk along road from sidepath to sidepath,18.0417278,-66.035683,101.772,1.317498231
2311,walk along road from sidepath to sidepath,18.0418876,-66.0358364,102.222,23.75720968
2314,walk along road from sidepath to sidepath,18.0418688,-66.0358064,101.912,3.577989258
2350,walk along road from sidepath to sidepath,18.0423034,-66.0362682,102.902,68.96756976
2351,walk along road from sidepath to sidepath,18.042293,-66.0362614,102.212,1.515061865
2368,walk along road from sidepath to sidepath,18.042408,-66.03657,102.042,34.89787691
2369,sidepath 2 (08-06),18.042401,-66.036588,106.264,0
2384,sidepath 2 (08-06),18.042161,-66.03695,115.614,46.94791768
2426,sidepath 2 (08-06),18.0418272,-66.0362376,115.164,83.17183932
2498,sidepath 2 (08-06),18.042346,-66.036385,109.728,59.74375598
2499,more road points and bridge start,18.041926,-66.035751,101.08,0
2531,more road points and bridge start,18.041428,-66.0353204,99.06,71.74745256
2534,more road points and bridge start,18.0414434,-66.035329,99.06,2.237424313
2593,more road points and bridge start,18.0416124,-66.0345236,99.06,88.00728103
2621,more road points and bridge start,18.0411,-66.034786,97.78,63.41064157
2622,extra notes from looped community,18.043205,-66.030445,191.85,0
2639,extra notes from looped community,18.0434734,-66.029963,192.97,59.41370106
2645,extra notes from looped community,18.0434258,-66.0299858,190.5,6.535163872
2728,extra notes from looped community,18.0444898,-66.0285902,193.2,189.3928693
2732,extra notes from looped community,18.0445306,-66.0285848,193.14,4.747144089
2733,extra notes from looped community,18.044533,-66.0285832,192.8,0.820438739
2736,extra notes from looped community,18.0445202,-66.028586,191.82,1.946566953
2737,extra notes from looped community,18.0445216,-66.0285862,192.05,0.298246279
2741,extra notes from looped community,18.0444674,-66.0285792,192.34,5.93720741
2759,extra notes from looped community,18.044519,-66.0288036,194.51,23.89851621
2764,extra notes from looped community,18.0444872,-66.028798,188.1,7.355437064
2765,extra notes from looped community,18.0444886,-66.0288028,187.49,0.638866843
2987,extra notes from looped community,18.0432686,-66.0329344,156.17,459.2544076
2988,extra notes from looped community,18.0432676,-66.0329324,157.3,1.13
3031,extra notes from looped community,18.041806,-66.03438,144.3,223.3010447
3032,small sidepath,18.043866,-66.039605,114.262,0
3034,small sidepath,18.0438614,-66.0395962,114.792,1.061522743
3056,small sidepath,18.0440212,-66.0400006,118.352,46.32995078
3076,small sidepath,18.0438772,-66.0396498,113.932,40.45186686
3108,small sidepath,18.0440512,-66.0408526,119.922,128.7302137
3245,small sidepath,18.047283,-66.042755,126.962,411.5824792
3246,small sidepath near community end,18.047268,-66.042756,138.684,0
3247,small sidepath near community end,18.047265,-66.0427572,137.382,1.356247534
3284,small sidepath near community end,18.048164,-66.0425192,129.452,103.3346269
3287,small sidepath near community end,18.0472886,-66.0428244,145.912,103.8141576
3289,small sidepath near community end,18.047288,-66.04282,144.892,1.02
3290,quick side,18.048256,-66.043746,132.058,0
3297,quick side,18.048275,-66.043868,135.358,13.57206359
3298,another path,18.040073,-66.035458,123.118,0
3352,another path,18.0391394,-66.0373862,136.778,228.3666852
3457,another path,18.039813,-66.034011,111.868,365.3510616
3458,steep path more details,18.032518,-66.033636,97.612,0
3564,steep path more details,18.0320634,-66.0356908,114.372,223.1359693
3566,steep path more details,18.0320624,-66.035702,115.824,2.048041833
3567,steep path more details,18.0320618,-66.035708,115.824,0
3583,steep path more details,18.0320698,-66.0359246,113.982,23.91505542
3584,steep path more details,18.0320722,-66.0359284,113.832,0.241972815
3585,steep path more details,18.0320702,-66.0359264,114.012,0.261631121
3587,steep path more details,18.0320712,-66.0359174,113.812,0.773041794
3600,steep path more details,18.032093,-66.0360634,114.412,15.37702645
3607,steep path more details,18.0321364,-66.0360792,105.002,10.63795318
3622,steep path more details,18.0323004,-66.0360232,115.824,21.97132119
3662,steep path more details,18.0326294,-66.0359738,115.824,36.91011839
3702,steep path more details,18.032155,-66.0363154,123.412,64.8094047
3705,steep path more details,18.032143,-66.0363122,122.812,1.287567612
3706,steep path more details,18.0321476,-66.0363114,121.652,1.480405344
3708,steep path more details,18.0321564,-66.036317,119.322,2.554849447
3709,steep path more details,18.0321532,-66.0363154,118.362,0.978596364
3785,steep path more details,18.032438,-66.03486,106.812,158.1876638
3786,more details last path,18.031236,-66.030621,77.736,0
